[2025-08-20 15:45:04] ✅ Loaded 40 deals from CSV.
[2025-08-20 15:45:06] ✅ Selected deal: 12114
[2025-08-20 15:45:10] 📎 Added file from Deal 12114: TA_TA_Pokerstars.xlsx
[2025-08-20 15:45:13] 📄 Processing TA_TA_Pokerstars.xlsx in Checking Mode...
[2025-08-20 15:45:13] 🧾 Detected TA file — using deposit/cashout logic.
[2025-08-20 15:45:13] Detected single combined transaction sheet. Attempting auto-detection...
[2025-08-20 15:45:13] 📋 Raw headers: ['Transaction ID', 'TXN Type', 'Created', 'Started', 'TXN Curency', 'TXN Amount', 'Status', 'Pay Type', 'Country']
[2025-08-20 15:45:13] 🔍 Normalized headers: ['transactionid', 'txntype', 'created', 'started', 'txncurency', 'txnamount', 'status', 'paytype', 'country']
[2025-08-20 15:45:13] ⚠️ Row 107: Unparsable date/time → '01/Jul/2015 18:27:41'
[2025-08-20 15:45:13] ⚠️ Row 108: Unparsable date/time → '02/Jul/2015 18:26:40'
[2025-08-20 15:45:13] ⚠️ Row 109: Unparsable date/time → '08/Jul/2015 18:57:50'
[2025-08-20 15:45:13] ⚠️ Row 110: Unparsable date/time → '09/Jul/2015 18:58:41'
[2025-08-20 15:45:13] ⚠️ Row 111: Unparsable date/time → '09/Jul/2015 18:59:09'
[2025-08-20 15:45:13] ⚠️ Row 112: Unparsable date/time → '16/Jul/2015 15:02:40'
[2025-08-20 15:45:13] ⚠️ Row 113: Unparsable date/time → '20/Jul/2015 18:27:12'
[2025-08-20 15:45:13] ⚠️ Row 114: Unparsable date/time → '22/Jul/2015 19:04:27'
[2025-08-20 15:45:13] ⚠️ Row 115: Unparsable date/time → '23/Jul/2015 18:28:33'
[2025-08-20 15:45:13] ⚠️ Row 116: Unparsable date/time → '27/Jul/2015 17:54:40'
[2025-08-20 15:45:13] ⚠️ Row 117: Unparsable date/time → '28/Jul/2015 16:48:53'
[2025-08-20 15:45:13] ⚠️ Row 118: Unparsable date/time → '29/Jul/2015 19:08:09'
[2025-08-20 15:45:13] ⚠️ Row 119: Unparsable date/time → '07/Aug/2015 09:09:48'
[2025-08-20 15:45:13] ⚠️ Row 120: Unparsable date/time → '07/Aug/2015 15:07:35'
[2025-08-20 15:45:13] ⚠️ Row 121: Unparsable date/time → '12/Aug/2015 19:51:41'
[2025-08-20 15:45:13] ⚠️ Row 122: Unparsable date/time → '13/Aug/2015 18:37:45'
[2025-08-20 15:45:13] ⚠️ Row 123: Unparsable date/time → '18/Aug/2015 08:41:19'
[2025-08-20 15:45:13] ⚠️ Row 124: Unparsable date/time → '19/Aug/2015 17:01:15'
[2025-08-20 15:45:13] ⚠️ Row 125: Unparsable date/time → '25/Aug/2015 17:05:07'
[2025-08-20 15:45:13] ⚠️ Row 126: Unparsable date/time → '27/Aug/2015 18:56:28'
[2025-08-20 15:45:13] ⚠️ Row 127: Unparsable date/time → '27/Aug/2015 19:35:38'
[2025-08-20 15:45:13] ⚠️ Row 128: Unparsable date/time → '28/Aug/2015 18:29:36'
[2025-08-20 15:45:13] ⚠️ Row 129: Unparsable date/time → '28/Aug/2015 19:33:42'
[2025-08-20 15:45:13] ⚠️ Row 130: Unparsable date/time → '05/Sep/2015 16:44:36'
[2025-08-20 15:45:13] ⚠️ Row 131: Unparsable date/time → '07/Sep/2015 19:15:04'
[2025-08-20 15:45:13] ⚠️ Row 132: Unparsable date/time → '08/Sep/2015 18:28:53'
[2025-08-20 15:45:13] ⚠️ Row 133: Unparsable date/time → '10/Sep/2015 16:28:32'
[2025-08-20 15:45:13] ⚠️ Row 134: Unparsable date/time → '14/Sep/2015 05:53:40'
[2025-08-20 15:45:13] ⚠️ Row 135: Unparsable date/time → '16/Sep/2015 18:31:16'
[2025-08-20 15:45:13] ⚠️ Row 136: Unparsable date/time → '21/Sep/2015 18:04:04'
[2025-08-20 15:45:13] ⚠️ Row 137: Unparsable date/time → '23/Sep/2015 17:58:12'
[2025-08-20 15:45:13] ⚠️ Row 138: Unparsable date/time → '24/Sep/2015 04:26:48'
[2025-08-20 15:45:13] ⚠️ Row 139: Unparsable date/time → '24/Sep/2015 04:53:56'
[2025-08-20 15:45:13] ⚠️ Row 140: Unparsable date/time → '24/Sep/2015 18:56:10'
[2025-08-20 15:45:13] ⚠️ Row 141: Unparsable date/time → '30/Sep/2015 06:59:47'
[2025-08-20 15:45:13] ⚠️ Row 142: Unparsable date/time → '03/Oct/2015 12:44:50'
[2025-08-20 15:45:13] ⚠️ Row 143: Unparsable date/time → '03/Oct/2015 17:51:57'
[2025-08-20 15:45:13] ⚠️ Row 144: Unparsable date/time → '07/Oct/2015 18:26:11'
[2025-08-20 15:45:13] ⚠️ Row 145: Unparsable date/time → '07/Oct/2015 18:39:30'
[2025-08-20 15:45:13] ⚠️ Row 146: Unparsable date/time → '08/Oct/2015 18:02:18'
[2025-08-20 15:45:13] ⚠️ Row 147: Unparsable date/time → '15/Oct/2015 11:56:02'
[2025-08-20 15:45:13] ⚠️ Row 148: Unparsable date/time → '15/Oct/2015 13:54:32'
[2025-08-20 15:45:13] ⚠️ Row 149: Unparsable date/time → '17/Oct/2015 17:55:57'
[2025-08-20 15:45:13] ⚠️ Row 150: Unparsable date/time → '21/Oct/2015 14:20:12'
[2025-08-20 15:45:13] ⚠️ Row 151: Unparsable date/time → '23/Oct/2015 12:43:37'
[2025-08-20 15:45:13] ⚠️ Row 152: Unparsable date/time → '28/Oct/2015 17:53:32'
[2025-08-20 15:45:13] ⚠️ Row 153: Unparsable date/time → '28/Oct/2015 18:56:56'
[2025-08-20 15:45:13] ⚠️ Row 154: Unparsable date/time → '29/Oct/2015 17:32:35'
[2025-08-20 15:45:13] ⚠️ Row 155: Unparsable date/time → '03/Nov/2015 18:41:37'
[2025-08-20 15:45:13] ⚠️ Row 156: Unparsable date/time → '05/Nov/2015 19:02:38'
[2025-08-20 15:45:13] ⚠️ Row 157: Unparsable date/time → '11/Nov/2015 19:18:15'
[2025-08-20 15:45:13] ⚠️ Row 158: Unparsable date/time → '05/Dec/2015 15:12:23'
[2025-08-20 15:45:13] ⚠️ Row 159: Unparsable date/time → '25/Dec/2015 13:05:15'
[2025-08-20 15:45:13] ⚠️ Row 160: Unparsable date/time → '30/Dec/2015 17:54:14'
[2025-08-20 15:45:13] ⚠️ Row 161: Unparsable date/time → '16/Jan/2016 17:53:27'
[2025-08-20 15:45:13] ⚠️ Row 162: Unparsable date/time → '28/Jan/2016 17:58:00'
[2025-08-20 15:45:13] ⚠️ Row 163: Unparsable date/time → '11/Feb/2016 19:51:01'
[2025-08-20 15:45:13] ⚠️ Row 164: Unparsable date/time → '11/Feb/2016 20:32:42'
