[2025-08-21 13:00:00] ℹ️ Row 307: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=15.56 dt='2017-02-13 06:09:44'
[2025-08-21 13:00:00] ✅ Row 307: Deposit accepted — 15.56 at 2017-02-13 06:09:44 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 308: type='deposit' dep=True wdr=False status_orig='Rejected' canon='rejected' amount=11.41 dt='2017-02-13 06:20:52'
[2025-08-21 13:00:00] ⚠️ Row 308: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:00] ℹ️ Row 309: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.37 dt='2017-02-13 06:41:20'
[2025-08-21 13:00:00] ✅ Row 309: Deposit accepted — 10.37 at 2017-02-13 06:41:20 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 310: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.35 dt='2017-02-14 08:11:21'
[2025-08-21 13:00:00] ✅ Row 310: Deposit accepted — 10.35 at 2017-02-14 08:11:21 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 311: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=17.66 dt='2017-02-16 12:40:16'
[2025-08-21 13:00:00] ✅ Row 311: Deposit accepted — 17.66 at 2017-02-16 12:40:16 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 312: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=12.42 dt='2017-02-18 05:35:41'
[2025-08-21 13:00:00] ✅ Row 312: Deposit accepted — 12.42 at 2017-02-18 05:35:41 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 313: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.35 dt='2017-02-18 09:05:15'
[2025-08-21 13:00:00] ✅ Row 313: Deposit accepted — 10.35 at 2017-02-18 09:05:15 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 314: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.34 dt='2017-02-20 08:07:56'
[2025-08-21 13:00:00] ✅ Row 314: Deposit accepted — 10.34 at 2017-02-20 08:07:56 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 315: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.31 dt='2017-02-24 10:34:56'
[2025-08-21 13:00:00] ✅ Row 315: Deposit accepted — 10.31 at 2017-02-24 10:34:56 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 316: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.29 dt='2017-02-25 06:53:14'
[2025-08-21 13:00:00] ✅ Row 316: Deposit accepted — 10.29 at 2017-02-25 06:53:14 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 317: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.26 dt='2017-03-01 09:36:57'
[2025-08-21 13:00:00] ✅ Row 317: Deposit accepted — 10.26 at 2017-03-01 09:36:57 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 318: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=20.71 dt='2017-03-04 09:36:52'
