[2025-08-20 14:18:02] ⚠️ No files selected.
[2025-08-20 14:18:17] 📎 Added file from Deal 40153: TA_Pokerstars.xlsx
[2025-08-20 14:18:25] 📄 Processing TA_Pokerstars.xlsx...
[2025-08-20 14:18:25] 🧾 Detected TA file — using deposit/cashout logic.
[2025-08-20 14:18:25] Detected single combined transaction sheet. Attempting auto-detection...
[2025-08-20 14:18:25] ✅ Detected normal tabular structure. No CSV conversion needed.
[2025-08-20 14:18:25] 📋 Raw headers: ["Credit Status Report for 'muis21'  (Filtered)", 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']
[2025-08-20 14:18:25] 🔍 Normalized headers: ["creditstatusreportfor'muis21'(filtered)", 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none']
[2025-08-20 14:18:25] ⚠️ Header check failed: Missing date or amount — fallback mode. Using fallback mode (Column 0 = date, Column 1 = signed amount).
[2025-08-20 14:18:26] ⚠️ Row 133: Unparsable date → '7/24/2011 17:31'
[2025-08-20 14:18:26] ⚠️ Row 134: Unparsable date → '7/24/2011 17:56'
[2025-08-20 14:18:26] ⚠️ Row 135: Unparsable date → '7/24/2011 18:18'
[2025-08-20 14:18:26] ⚠️ Row 136: Unparsable date → '7/24/2011 18:36'
[2025-08-20 14:18:26] ⚠️ Row 137: Unparsable date → '7/24/2011 18:39'
[2025-08-20 14:18:26] ⚠️ Row 138: Unparsable date → '7/24/2011 18:50'
[2025-08-20 14:18:26] ⚠️ Row 139: Unparsable date → '7/25/2011 8:54'
[2025-08-20 14:18:26] ⚠️ Row 140: Unparsable date → '7/31/2011 16:41'
[2025-08-20 14:18:26] ⚠️ Row 141: Unparsable date → '7/31/2011 16:48'
[2025-08-20 14:18:26] ⚠️ Row 142: Unparsable date → '7/31/2011 16:56'
[2025-08-20 14:18:26] ⚠️ Row 143: Unparsable date → '7/31/2011 17:56'
[2025-08-20 14:18:26] ⚠️ Row 144: Unparsable date → '8/1/2011 6:15'
[2025-08-20 14:18:26] ⚠️ Row 145: Unparsable date → '8/10/2011 6:27'
[2025-08-20 14:18:26] ⚠️ Row 146: Unparsable date → '8/14/2011 15:57'
[2025-08-20 14:18:26] ⚠️ Row 147: Unparsable date → '9/6/2011 6:08'
[2025-08-20 14:18:26] ⚠️ Row 148: Unparsable date → '9/9/2011 5:26'
[2025-08-20 14:18:26] ⚠️ Row 149: Unparsable date → '9/9/2011 6:29'
[2025-08-20 14:18:26] ⚠️ Row 150: Unparsable date → '9/11/2011 14:57'
[2025-08-20 14:18:26] ⚠️ Row 151: Unparsable date → '9/11/2011 15:40'
[2025-08-20 14:18:26] ⚠️ Row 152: Unparsable date → '9/11/2011 17:37'
